id,type
85fb64b7-2f0c-4053-9e87-95b583b7b9e1.jpg,HALL
d835314c-3884-4f52-acba-61206772af2f.jpg,HALL
292e3a94-82c9-4394-9929-ad8f72fc7efe.jpg,HALL
26ec3d6d-c9a8-4fb2-9350-38b897a9c095.jpg,KITCHEN_RECEPTION
585b0eb2-34e7-492c-9103-8f4876c445ad.jpg,KITCHEN_RECEPTION
b8cf9c60-3d4e-437b-8e55-4810af15473c.jpg,MASTER_BEDROOM
aba0483f-ec12-4f41-89a2-87cec0f56e4e.jpg,MASTER_ENSUITE
dbc9b36a-9545-4f36-bab3-5ffb497a1bbb.jpg,BEDROOM
2aacfb34-ac62-4df5-8c9e-b85647fc21d3.jpg,STUDY
3081b6dd-06a5-47b2-9d4c-5e37192802bf.jpg,BATHROOM
51179352-2832-4580-8361-213af7d1db15.jpg,EXTERIOR
ffccf376-6ef3-47f6-88e4-611013cffd25.jpg,HALL
556eb887-10ea-4e0d-b079-79f3ab85a4d5.jpg,KITCHEN
16d8e0b1-2bed-467f-bc54-e4ea057a5a05.jpg,RECEPTION
d0b733a1-1a3b-4b1b-8647-3d9dbdba0833.jpg,BATHROOM
d3558bc1-0783-4cdc-b130-8f5b347ad3f7.jpg,GARDEN
7ea56217-1887-4fd9-bc8e-e2a1c8f9b327.jpg,HALL
ef61b9d6-9bd5-44f3-bc06-93a7a1dde0df.jpg,HALL
2a720477-f193-47ce-ae77-d90d00577cd2.jpg,MASTER_BEDROOM
8d8264af-2ecb-4164-a1a7-9269f0747dd7.jpg,MASTER_BEDROOM
a934ff5d-bc1e-4f89-902c-0b062b1b0c0a.jpg,ENSUITE
3c55cc04-0c55-4eff-bb58-634f62cadade.jpg,BALCONY
6b711f18-2fdc-4a6f-b26c-21196b9d9f72.jpg,BEDROOM
98ab8c58-5452-47eb-99b1-b8734994c169.jpg,BATHROOM
858df084-01c9-4f5d-8a52-8b02618690e2.jpg,BEDROOM
f5bf89d6-b433-4545-b521-91f21f9bd683.jpg,EXTERIOR
